Ref,Rank,Team_ref,Team,Team Flag Link,Matches,Points,Year,Month,Format
Teams_Tests2023December_1,1,t001,Australia,,,85.0,2023,December,Tests
Teams_Tests2023December_2,2,t002,England,,,84.0,2023,December,Tests
Teams_Tests2023December_3,3,t003,India,,,83.0,2023,December,Tests
Teams_Tests2023December_4,4,t004,New Zealand,,,82.0,2023,December,Tests
Teams_Tests2023December_5,5,t005,Pakistan,,,81.0,2023,December,Tests
Teams_Tests2023December_6,6,t006,South Africa,,,80.0,2023,December,Tests
Teams_Tests2023December_7,7,t007,Sri Lanka,,,79.0,2023,December,Tests
Teams_Tests2023December_8,8,t008,West Indies,,,78.0,2023,December,Tests
Teams_Tests2023November_9,9,t001,Australia,,,84.2,2023,November,Tests
Teams_Tests2023November_10,10,t002,England,,,83.2,2023,November,Tests
Teams_Tests2023November_11,11,t003,India,,,82.2,2023,November,Tests
Teams_Tests2023November_12,12,t004,New Zealand,,,81.2,2023,November,Tests
Teams_Tests2023November_13,13,t005,Pakistan,,,80.2,2023,November,Tests
Teams_Tests2023November_14,14,t006,South Africa,,,79.2,2023,November,Tests
Teams_Tests2023November_15,15,t007,Sri Lanka,,,78.2,2023,November,Tests
Teams_Tests2023November_16,16,t008,West Indies,,,77.2,2023,November,Tests
Teams_Tests2023October_17,17,t001,Australia,,,83.3,2023,October,Tests
Teams_Tests2023October_18,18,t002,England,,,82.3,2023,October,Tests
Teams_Tests2023October_19,19,t003,India,,,81.3,2023,October,Tests
Teams_Tests2023October_20,20,t004,New Zealand,,,80.4,2023,October,Tests
Teams_Tests2023October_21,21,t005,Pakistan,,,79.4,2023,October,Tests
Teams_Tests2023October_22,22,t006,South Africa,,,78.4,2023,October,Tests
Teams_Tests2023October_23,23,t007,Sri Lanka,,,77.4,2023,October,Tests
Teams_Tests2023October_24,24,t008,West Indies,,,76.4,2023,October,Tests
Teams_Tests2023September_25,25,t001,Australia,,,82.5,2023,September,Tests
Teams_Tests2023September_26,26,t002,England,,,81.5,2023,September,Tests
Teams_Tests2023September_27,27,t003,India,,,80.5,2023,September,Tests
Teams_Tests2023September_28,28,t004,New Zealand,,,79.6,2023,September,Tests
Teams_Tests2023September_29,29,t005,Pakistan,,,78.6,2023,September,Tests
Teams_Tests2023September_30,30,t006,South Africa,,,77.6,2023,September,Tests
Teams_Tests2023September_31,31,t007,Sri Lanka,,,76.7,2023,September,Tests
Teams_Tests2023September_32,32,t008,West Indies,,,75.7,2023,September,Tests
Teams_Tests2023August_33,33,t001,Australia,,,81.7,2023,August,Tests
Teams_Tests2023August_34,34,t002,England,,,80.7,2023,August,Tests
Teams_Tests2023August_35,35,t003,India,,,79.7,2023,August,Tests
Teams_Tests2023August_36,36,t004,New Zealand,,,78.8,2023,August,Tests
Teams_Tests2023August_37,37,t005,Pakistan,,,77.8,2023,August,Tests
Teams_Tests2023August_38,38,t006,South Africa,,,76.8,2023,August,Tests
Teams_Tests2023August_39,39,t007,Sri Lanka,,,75.9,2023,August,Tests
Teams_Tests2023August_40,40,t008,West Indies,,,74.9,2023,August,Tests
Teams_Tests2023July_41,41,t001,Australia,,,80.8,2023,July,Tests
Teams_Tests2023July_42,42,t002,England,,,79.9,2023,July,Tests
Teams_Tests2023July_43,43,t003,India,,,78.9,2023,July,Tests
Teams_Tests2023July_44,44,t004,New Zealand,,,78.0,2023,July,Tests
Teams_Tests2023July_45,45,t005,Pakistan,,,77.0,2023,July,Tests
Teams_Tests2023July_46,46,t006,South Africa,,,76.1,2023,July,Tests
Teams_Tests2023July_47,47,t007,Sri Lanka,,,75.1,2023,July,Tests
Teams_Tests2023July_48,48,t008,West Indies,,,74.2,2023,July,Tests
Teams_Tests2023June_49,49,t001,Australia,,,80.0,2023,June,Tests
Teams_Tests2023June_50,50,t002,England,,,79.1,2023,June,Tests
Teams_Tests2023June_51,51,t003,India,,,78.1,2023,June,Tests
Teams_Tests2023June_52,52,t004,New Zealand,,,77.2,2023,June,Tests
Teams_Tests2023June_53,53,t005,Pakistan,,,76.3,2023,June,Tests
Teams_Tests2023June_54,54,t006,South Africa,,,75.3,2023,June,Tests
Teams_Tests2023June_55,55,t007,Sri Lanka,,,74.4,2023,June,Tests
Teams_Tests2023June_56,56,t008,West Indies,,,73.4,2023,June,Tests
Teams_Tests2023May_57,57,t001,Australia,,,79.2,2023,May,Tests
Teams_Tests2023May_58,58,t002,England,,,78.3,2023,May,Tests
Teams_Tests2023May_59,59,t003,India,,,77.4,2023,May,Tests
Teams_Tests2023May_60,60,t004,New Zealand,,,76.4,2023,May,Tests
Teams_Tests2023May_61,61,t005,Pakistan,,,75.5,2023,May,Tests
Teams_Tests2023May_62,62,t006,South Africa,,,74.6,2023,May,Tests
Teams_Tests2023May_63,63,t007,Sri Lanka,,,73.6,2023,May,Tests
Teams_Tests2023May_64,64,t008,West Indies,,,72.7,2023,May,Tests
Teams_Tests2023April_65,65,t001,Australia,,,78.4,2023,April,Tests
Teams_Tests2023April_66,66,t002,England,,,77.5,2023,April,Tests
Teams_Tests2023April_67,67,t003,India,,,76.6,2023,April,Tests
Teams_Tests2023April_68,68,t004,New Zealand,,,75.7,2023,April,Tests
Teams_Tests2023April_69,69,t005,Pakistan,,,74.7,2023,April,Tests
Teams_Tests2023April_70,70,t006,South Africa,,,73.8,2023,April,Tests
Teams_Tests2023April_71,71,t007,Sri Lanka,,,72.9,2023,April,Tests
Teams_Tests2023April_72,72,t008,West Indies,,,72.0,2023,April,Tests
Teams_Tests2023March_73,73,t001,Australia,,,77.6,2023,March,Tests
Teams_Tests2023March_74,74,t002,England,,,76.7,2023,March,Tests
Teams_Tests2023March_75,75,t003,India,,,75.8,2023,March,Tests
Teams_Tests2023March_76,76,t004,New Zealand,,,74.9,2023,March,Tests
Teams_Tests2023March_77,77,t005,Pakistan,,,74.0,2023,March,Tests
Teams_Tests2023March_78,78,t006,South Africa,,,73.1,2023,March,Tests
Teams_Tests2023March_79,79,t007,Sri Lanka,,,72.2,2023,March,Tests
Teams_Tests2023March_80,80,t008,West Indies,,,71.3,2023,March,Tests
Teams_Tests2023February_81,81,t001,Australia,,,76.9,2023,February,Tests
Teams_Tests2023February_82,82,t002,England,,,76.0,2023,February,Tests
Teams_Tests2023February_83,83,t003,India,,,75.1,2023,February,Tests
Teams_Tests2023February_84,84,t004,New Zealand,,,74.2,2023,February,Tests
Teams_Tests2023February_85,85,t005,Pakistan,,,73.3,2023,February,Tests
Teams_Tests2023February_86,86,t006,South Africa,,,72.4,2023,February,Tests
Teams_Tests2023February_87,87,t007,Sri Lanka,,,71.4,2023,February,Tests
Teams_Tests2023February_88,88,t008,West Indies,,,70.5,2023,February,Tests
Teams_Tests2023January_89,89,t001,Australia,,,76.1,2023,January,Tests
Teams_Tests2023January_90,90,t002,England,,,75.2,2023,January,Tests
Teams_Tests2023January_91,91,t003,India,,,74.3,2023,January,Tests
Teams_Tests2023January_92,92,t004,New Zealand,,,73.4,2023,January,Tests
Teams_Tests2023January_93,93,t005,Pakistan,,,72.5,2023,January,Tests
Teams_Tests2023January_94,94,t006,South Africa,,,71.6,2023,January,Tests
Teams_Tests2023January_95,95,t007,Sri Lanka,,,70.7,2023,January,Tests
Teams_Tests2023January_96,96,t008,West Indies,,,69.8,2023,January,Tests
Teams_Tests2023January_97,97,t009,Zimbabwe,,,75.3,2023,January,Tests
Teams_Tests2023January_98,98,t010,Bangladesh,,,74.5,2023,January,Tests
Teams_Tests2023January_99,99,t011,Afghanistan,,,73.6,2023,January,Tests
Teams_Tests2023January_100,100,t012,Ireland,,,72.7,2023,January,Tests
